Designator,Mid X,Mid Y,Rotation,Layer
A1,105.26,-68.8325,0.0,top
D10,135.125,-69.77,0.0,bottom
D13,154.375,-69.77,0.0,bottom
D14,173.125,-69.77,0.0,bottom
D15,173.325,-89.17,0.0,bottom
D16,154.125,-89.17,0.0,bottom
D17,134.95,-89.17,0.0,bottom
D18,135.15,-108.32,0.0,bottom
D20,154.15,-108.22,0.0,bottom
D21,192.225,-108.27,0.0,bottom
D22,173.15,-108.22,0.0,bottom
D23,192.325,-89.17,0.0,bottom
D34,125.65,-65.92,270.0,top
D35,125.585,-85.135,270.0,top
D36,125.55,-104.23,270.0,top
D37,144.7,-65.71,270.0,top
D38,144.9,-85.02,270.0,top
D39,144.585,-104.375,270.0,top
D40,163.81,-65.19,270.0,top
D41,163.745,-84.495,270.0,top
D42,163.9,-103.52,270.0,top
D44,182.9,-85.52,270.0,top
D45,182.9,-103.77,270.0,top
J1,120.95,-84.57,270.0,bottom
J2,120.95,-69.07,270.0,bottom
J3,121.05,-110.37,270.0,bottom
J5,120.95,-52.32,270.0,bottom
SW1,135.175,-62.955,0.0,top
SW10,192.36,-82.01,0.0,top
SW11,192.31,-101.11,0.0,top
SW12,191.55,-67.3825,0.0,top
SW13,191.7,-47.02,0.0,top
SW14,120.95,-98.82,270.0,bottom
SW2,135.16,-82.07,0.0,top
SW3,135.175,-101.165,0.0,top
SW4,154.21,-63.01,0.0,top
SW5,154.225,-82.005,0.0,top
SW6,154.21,-101.11,0.0,top
SW7,173.26,-62.97,0.0,top
SW8,173.27,-82.03,0.0,top
SW9,173.275,-101.055,0.0,top
U1,170.75,-45.29,0.0,top
